plot,matched_tropes
"A thief named Shyam  who has made stealing his career decides to go straight after the death of his mentor . On the run from police for committing a series of robberies in the past, he ends up in a village and he comes across a poet named Deepak  and comes to his aid. Taking advantage of the fact that Deepak is his lookalike he decides to steal his identity by killing him. He backs out of killing him however when he discovers Deepak is already dying of an illness. After Deepak's death he decides to steal his identity and informs the police that Deepak is actually the thief Shyam. However a police inspector  who had tried to capture Shyam after he committed a robbery becomes suspicious that Shyam is actually alive and masquerading as the poet Deepak.","['gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief', 'gentleman_thief']"
"The outlaw Speedy Gonzales rides into town in New York to investigate the death of his brother, Mooses. Despite being met by resistance from the locals, he is determined to solve the crime. Meanwhile, two of the world's worst gunslingers are matching their skills and the desperate desperado Clyde is trying to rob a bank with abysmal success...","['retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw']"
A villainous rival sends in four double agents to sabotage the exam preparations of the student body of Hadi Hodja's private education institute in a holiday village in Antalya. But when the students uncover the plot they take revenge.,"['revenge', 'revenge', 'revenge', 'revenge', 'revenge', 'revenge']"
"Slacker is a uniquely structured and seemingly plotless film, following a single day in the life of an ensemble of mostly twenty-something bohemians and misfits in Austin, Texas. The film follows various characters and scenes, never staying with one character or conversation for more than a few minutes before picking up someone else in the scene and following them. The characters include Linklater as a talkative taxi passenger, a UFO buff who insists the U.S. has been on the moon since the 1950s, a JFK conspiracy theorist, an elderly anarchist who befriends a man trying to rob his house, a serial television set collector and a woman trying to sell a Madonna pap smear. The woman selling the pap smear appears on the movie poster, and was played by Butthole Surfers drummer Teresa Taylor.<ref name Raftery | first  | title  Salon.com | pages  | date  http://www.salon.com/ent/movies/feature/2006/07/05/slacker/index.html | accessdate = 2009-09-09 }} Most of the characters grapple with feelings of social exclusion or political marginalization, which are recurring themes in their conversations. They discuss social class, terrorism, joblessness, and government control of the media.","['slacker', 'slacker', 'slacker', 'slacker', 'slacker', 'slacker', 'slacker', 'slacker', 'slacker', 'slacker', 'slacker']"
"Notorious gunslinger George Kelby Jr.  and his wife Dora  settle down in a peaceful little town of Cross Creek under assumed identities to avoid having to continually face men out to become famous for shooting down the ""fastest gun alive"". George becomes a mild-mannered teetotal shopkeeper little respected by the other townsfolk. One day, the whole town hears the news that outlaw Vinnie Harold  has gunned down Clint Fallon, reputedly the ""fastest gun in the west"", and he listens to the townsmen talk about Wyatt Earp, Wes Hardin, and other so-called ""fast guns"". They are also laughing at George, seeing him as nothing but a ""ribbon clerk"". HIs pride stung, he goes back to his store, retrieves his gun from hiding , belts it on, and - over her desperate pleading not to destroy the peaceful life they have built - says ""they have to know who I am"" and goes to the bar. The men are astonished - and a little afraid - at seeing George wearing a gun, believing him to be drunk. He sets about destroying the myths these men have about gunmen, displaying a detailed knowledge of guns and gunmen they never suspected he had, and finally blurts out his secret that he is the fastest gun alive... ""...faster than Earp, faster than Hardin, faster than Fallon, and faster than the man who killed him."" When the citizens disbelieve him, he takes them into the street and gives them a demonstration of his skill. First, with only two shots, he hits two silver dollars tossed into the air on the count of three by two men. Following that, he shoots a beer glass full of beer dropped from a man's hand at twenty feet, hitting it almost immediately after it left the man's hand. Meanwhile, while everyone is in the church where they have taken an oath not to tell George's secret, Harold has come to town and finds out about George's display of gun skill from a local boy. Even though he is on the run---and over the objections of his fellow bank robbers, Taylor Swope  and Dink Wells , who just want to escape the law---Harold decides to stay and face George. Vinnie finds out that the ""fast gun"" is in the church and sends Swope to the church to call him out so his boss can meet him. When the town refuses to send out ""the man who shot two silver dollars at the same time"", Harold sends Dink out to find some kerosene and pour it over all the building in town, and then orders Swope to deliver a message to the people in the church that if the fast gun doesn't come out in five minutes, Vinnie and his men will burn down the whole town unless George faces him. The townspeople now ""forget"" their oath and try to force George into the street. George now has to tell the whole truth, explaining that he is no gunman, that he has never been in a real gunfight. The gun with the notches in the handle is actually his father's  and he is terrified at the prospect of actually facing a man in a gunfight. Swope and Wells elect to abandon Vinnie. Dink stays for awhile, but rides off. Swope, who decides to take his share of the gang's loot, is told by Vinnie to either draw or ride out—but without any of the loot. Swope leaves, toys with the idea of drawing on Vinnie. He thinks better of it and leaves, just before George exits the church to face Vinnie. But with no other choice, George forces down his fear and goes out into the street, where he outdraws and kills Harold. When a posse pursuing the outlaws shows up, the townspeople, who are attending the burial of Harold and Kelby, claim that Kelby and Harold shot each other dead. After the posse leaves, it's revealed that Kelby wasn't killed and that a coffin filled with stones, Kelby's gun, and Kelby's reputation as ""the fastest gun alive,"" was buried. This allows George and Dora to resume their peaceful existence in Cross Creek.","['fastest_gun_in_the_west', 'fastest_gun_in_the_west', 'fastest_gun_in_the_west', 'fastest_gun_in_the_west', 'fastest_gun_in_the_west', 'fastest_gun_in_the_west', 'fastest_gun_in_the_west']"
"A rich man with a kind heart takes in a suffering homeless orphan named Chun Yau. The man’s spoiled/jealous son does not take well to his new stepbrother. Chun Yau grows into a righteous martial artist played by Bryan Leung. Likewise, the jealous son grows into a bitter gang leader, essayed by Chang Yi. The jealous son holds a grudge against his stepbrother because Chun Yau stole his girlfriend. Now, Chang Yi has made it his goal to hunt down Chun Yau and his bride, Yu Ti prompting the newlyweds to spend their lives together running in fear from the gang leader. But one day Chun Yau runs into a bumbling tough guy named Fatty, who immediately challenges him to fight. Chun Yau quickly dispatches of his aggressor, prompting Fatty to set himself up as Chun Yau’s pupil. Apparently Fatty has promised his ancestors that he shall learn proper Kung Fu by training under the man who beats him . However, Chun Yau and his wife are trying to keep a low profile and they want nothing to do with Fatty, as all he does is attract attention. Fatty, meanwhile, can’t help but wonder why such a great martial artist lives in fear. With his stepfather at death’s door, Chun Yau and his wife go to pay final respects to his ill-struck adopted father. As Chun Yau enters his father’s room, he finds himself surrounded by Chang Yi’s men. They let Chun Yau speak with his stepfather as the old one expires. Chang Yi appears to be mourning the death of his father, but as soon as Chun Yau leaves his stepfather’s room, Cheng Yi orders his men to attack his stepbrother. Fatty arrives in time to help Chun Yau fight off the gang members. But Chun Yau’s wife can no longer handle the pressures of life on the run. She begs Chang Yi to stop the violence and she will leave Chun Yau and live with him. She tells her husband she is sick of life on the run and that she will stay with Chang Yi. Chun Yau is shattered and leaves a broken man, followed by the faithful Fatty. But Yu Ti really does not plan on spending her life with her hated admirer. After Chang Yi calls off the price on Chun Yau’s head, Yu Ti commits suicide rather than succumbing to his desires. The death of Yu Ti only serves to fuel the flames of hatred between these two men. Chang Yi hires martial arts assassins  to deal with his stepbrother. A plan is composed by Yau and Fatty that results in the supposed death of someone.","['arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy', 'arrogant_kungfu_guy']"
"An ex-outlaw is kidnapped and used for his considerable criminal finesse, despite now being on the straight and narrow. It is up to Roy Rogers to rescue him.","['retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw']"
"A psycho murders a man who was on his way to a job as a deputy sheriff in a small California coastal town. He takes on the deputy's identity and arrives in town to start his new ""job."" What he doesn't know is that the sheriff and his mistress are plotting to murder her husband and blame it on the new deputy.","['psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire', 'psycho_for_hire']"
"After the rape and subsequent suicide of a college student, her mother takes revenge on those responsible.","['revenge', 'revenge', 'revenge', 'revenge', 'revenge', 'revenge']"
"The outlaw Butch Cavendish  ambushes a party of Texas Rangers, killing all except John Reid  who is rescued by his old childhood Comanche friend, Tonto . When he recovers from his wounds, he dedicates his life to fighting the crime that Cavendish represents. To this end, John becomes the great masked western hero, The Lone Ranger. With the help of Tonto, the pair go to rescue President Grant  when Cavendish takes him hostage.","['retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw', 'retired_outlaw']"
